Program,Execution time,Physical Memory,Paged Memory,Virtual Memory
OpenCL_BinaryTree16_0,224998.8,8192,0,385024
OpenCL_BinaryTree16_1,494149.52,1294336,0,37273600
OpenCL_BinaryTreeScl128_0,179352.74,8192,0,397312
OpenCL_BinaryTreeScl128_1,166450.68,8192,0,393216
OpenCL_BitonicSort4_0,194762.26,8192,0,385024
OpenCL_BitonicSort4_1,302327.72,1155072,0,37003264
OpenCL_FastFourierTransformArrGlb8_0,724428.54,8192,0,417792
OpenCL_FastFourierTransformArrGlb8_1,401606.1,8192,0,389120
OpenCL_FastFourierTransformSclGlb8_0,628644.28,8192,0,385024
OpenCL_FastFourierTransformSclGlb8_1,242449.56,1290240,0,37273600
OpenCL_FirstExample_0,496303.98,8192,0,376832
OpenCL_FirstExample_1,285572.78,8192,0,376832
OpenCL_MatrixMultCannon2_0,691102.54,8192,0,380928
OpenCL_MatrixMultCannon2_1,360687.34,8192,0,380928
OpenCL_MatrixMultCannon4_0,308204.44,8192,0,430080
OpenCL_MatrixMultCannon4_1,359705.72,8192,0,401408
OpenCL_MatrixMultCannonArr2_0,663003.58,8192,0,380928
OpenCL_MatrixMultCannonArr2_1,802326.44,8192,0,380928
OpenCL_MatrixMult_0,196058.68,8192,0,385024
OpenCL_MatrixMult_1,216008.66,8192,0,380928
OpenCL_RadixBAddCarryLookahead4_0,329331.18,8192,0,413696
OpenCL_RadixBAddCarryLookahead4_1,354581.16,684032,0,4575232
OpenCL_RadixBMulDadda_0,431795.34,8192,0,450560
OpenCL_RadixBMulDadda_1,432743.64,8192,0,409600
OpenCL_TransHull_0,266313.94,8192,0,385024
OpenCL_TransHull_1,233589.1,8192,0,380928
OpenMP_BinaryTree16_0,16640604.88,8192,0,389120
OpenMP_BinaryTree16_1,17419958.4,8192,0,376832
OpenMP_BinaryTree16_2,16577114.58,8192,0,376832
OpenMP_BinaryTree16_3,15892162.8,8192,0,376832
OpenMP_BinaryTreeScl128_0,16276954.42,8192,0,393216
OpenMP_BinaryTreeScl128_1,17131601.82,8192,0,385024
OpenMP_BinaryTreeScl128_2,16317710.98,8192,0,385024
OpenMP_BinaryTreeScl128_3,17209842.4,8192,0,376832
OpenMP_BitonicSort4_0,16147887.12,8192,0,385024
OpenMP_BitonicSort4_1,17379815.84,8192,0,376832
OpenMP_BitonicSort4_2,16460535.66,8192,0,380928
OpenMP_BitonicSort4_3,16448175.48,8192,0,376832
OpenMP_FastFourierTransformArrGlb8_0,15990587.3,8192,0,425984
OpenMP_FastFourierTransformArrGlb8_1,15088917.64,8192,0,380928
OpenMP_FastFourierTransformArrGlb8_2,15655906.66,8192,0,385024
OpenMP_FastFourierTransformArrGlb8_3,16087039.26,8192,0,376832
OpenMP_FastFourierTransformSclGlb8_0,16033855.4,8192,0,385024
OpenMP_FastFourierTransformSclGlb8_1,16145622.06,8192,0,376832
OpenMP_FastFourierTransformSclGlb8_2,15892791.44,8192,0,380928
OpenMP_FastFourierTransformSclGlb8_3,15751512.58,8192,0,376832
OpenMP_FirstExample_0,17132706.94,679936,0,6115328
OpenMP_FirstExample_1,17296522.78,8192,0,376832
OpenMP_FirstExample_2,16749860.66,8192,0,376832
OpenMP_FirstExample_3,16859133.84,8192,0,376832
OpenMP_MatrixMultCannon2_0,15195544.86,8192,0,380928
OpenMP_MatrixMultCannon2_1,17190170.8,8192,0,376832
OpenMP_MatrixMultCannon2_2,16041789.72,8192,0,380928
OpenMP_MatrixMultCannon2_3,16546035.9,8192,0,376832
OpenMP_MatrixMultCannon4_0,16140342.48,8192,0,434176
